Rename,OriginalName
CORE2019MOF11661,1499489-acs.cgd.6b01265_1499490_clean
CORE2019MOF11662,ACOCOM_clean
CORE2019MOF11663,ACOCUS_clean
CORE2019MOF11664,ACODAZ_clean
CORE2019MOF11665,acs.inorgchem.5b02316_ic5b02316_si_002_clean
CORE2019MOF11666,acs.jpcc.6b04690_jp6b04690_si_005_clean
CORE2019MOF11667,AFEKAX_clean
CORE2019MOF11668,AKIXEZ_clean
CORE2019MOF11669,APEBOO_clean
CORE2019MOF11670,ASEXED_clean
CORE2019MOF11671,AVEMOE_clean
CORE2019MOF11672,AWEJES_clean
CORE2019MOF11673,BAFVAH_clean
CORE2019MOF11674,BAPVEW_clean
CORE2019MOF11675,BIBYAO_clean
CORE2019MOF11676,BICDAU_clean
CORE2019MOF11677,BUBDIL_clean
CORE2019MOF11678,BUCTUQ_clean
CORE2019MOF11679,BUFPIC_clean
CORE2019MOF11680,BUKMUQ_clean
CORE2019MOF11681,BUPDOH_clean
CORE2019MOF11682,c4ra13058h_c4ra13058h2_clean
CORE2019MOF11683,c5cc09935h_c5cc09935h2_clean
CORE2019MOF11684,c5ce00923e_c5ce00923e2_clean
CORE2019MOF11685,c5dt01100k_c5dt01100k2_clean
CORE2019MOF11686,c5dt02651b_c5dt02651b2_clean
CORE2019MOF11687,c5dt03038b_c5dt03038b2_clean
CORE2019MOF11688,c5dt03710g_c5dt03710g2_clean
CORE2019MOF11689,c5dt05023e_c5dt05023e2_clean
CORE2019MOF11690,c5nj02236c_c5nj02236c2_clean
CORE2019MOF11691,c5qi00128e_c5qi00128e2_clean
CORE2019MOF11692,c5ta03835a_c5ta03835a2_clean
CORE2019MOF11693,c5ta05481h_c5ta05481h2_clean
CORE2019MOF11694,c5ta09507g_c5ta09507g2_clean
CORE2019MOF11695,c5ta10401g_c5ta10401g2_clean
CORE2019MOF11696,c6cc00589f_c6cc00589f3_clean
CORE2019MOF11697,c6cc01597b_c6cc01597b2_clean
CORE2019MOF11698,c6cc03787a_c6cc03787a2_clean
CORE2019MOF11699,c6dt01288d_c6dt01288d2_clean
CORE2019MOF11700,CAWBUY_clean
CORE2019MOF11701,CEKNIQ_clean
CORE2019MOF11702,CEMKOV_clean
CORE2019MOF11703,cg4012185_si_002_clean
CORE2019MOF11704,cg5008236_si_002_clean
CORE2019MOF11705,cg801267m_si_001_clean
CORE2019MOF11706,cg801267m_si_002_clean
CORE2019MOF11707,cg801267m_si_003_clean
CORE2019MOF11708,cg801267m_si_004_clean
CORE2019MOF11709,CIDLAE_clean
CORE2019MOF11710,CILFIN_clean
CORE2019MOF11711,CISMAT01_clean
CORE2019MOF11712,COYMIN_clean
CORE2019MOF11713,CUNXIS_clean
CORE2019MOF11714,CUSXIY_clean
CORE2019MOF11715,CUSXOE_clean
CORE2019MOF11716,CUVTIX_clean
CORE2019MOF11717,DACSAE_clean
CORE2019MOF11718,DAFXUG_clean
CORE2019MOF11719,DAMRAN_clean
CORE2019MOF11720,DEYDOA_clean
CORE2019MOF11721,DIMQIB_clean
CORE2019MOF11722,DIXNUV_clean
CORE2019MOF11723,DIZVAK_clean
