Rename,OriginalName
CORE2019MOF1,ABAVIJ_clean
CORE2019MOF2,ABAYIO_clean
CORE2019MOF3,ABAYOU_clean
CORE2019MOF4,ABEFUL_clean
CORE2019MOF5,ABESUX_clean
CORE2019MOF6,ABETAE_clean
CORE2019MOF7,ABETIN_clean
CORE2019MOF8,ABEXEM_clean
CORE2019MOF9,ABEXEN_clean
CORE2019MOF10,ABEXIQ_clean
CORE2019MOF11,ABEXOW_clean
CORE2019MOF12,ABEXUC_clean
CORE2019MOF13,ABEYAJ_clean
CORE2019MOF14,ABEYEN_clean
CORE2019MOF15,ABEYIR_clean
CORE2019MOF16,ABIXOZ_clean
CORE2019MOF17,ABIYIV_clean
CORE2019MOF18,ABULOB_clean
CORE2019MOF19,ABUWOJ_clean
CORE2019MOF20,ac403674p_si_001_clean
CORE2019MOF21,ACAJIY_clean
CORE2019MOF22,ACAJIZ_clean
CORE2019MOF23,ACAJOF_clean
CORE2019MOF24,ACAKUM_clean
CORE2019MOF25,ACALIB_clean
CORE2019MOF26,ACECIV_ion_b
CORE2019MOF27,ACIBIY_clean
CORE2019MOF28,ACIBOE_clean
CORE2019MOF29,ACODON_clean
CORE2019MOF30,ACODUT_clean
CORE2019MOF31,ACOGAB_clean
CORE2019MOF32,ACOGEF_clean
CORE2019MOF33,ACOLEL_clean
CORE2019MOF34,ACOLIP_clean
CORE2019MOF35,ACOLOV_clean
CORE2019MOF36,acs.cgd.5b01554_VAGNUP1452791_clean
CORE2019MOF37,acs.cgd.5b01686_WAHFUJ1434675_clean
CORE2019MOF38,acs.cgd.6b00163_UKEBOD1448508_clean
CORE2019MOF39,acs.cgd.6b00463_OLOMUZ1451936_clean
CORE2019MOF40,acs.chemmater.5b03723_cm5b03723_si_004_clean
CORE2019MOF41,acs.chemmater.5b03723_cm5b03723_si_005_clean
CORE2019MOF42,acs.chemmater.6b02817_cm6b02817_si_004_clean
CORE2019MOF43,acs.chemrev.6b00346_cr6b00346_si_001_clean
CORE2019MOF44,acscombsci.5b00188_24205_clean
CORE2019MOF45,acscombsci.5b00188_3001288_clean
CORE2019MOF46,acscombsci.5b00188_34903_clean
CORE2019MOF47,acscombsci.5b00188_5013797_clean
CORE2019MOF48,acscombsci.5b00188_5020072_clean
CORE2019MOF49,acscombsci.5b00188_5024922_clean
CORE2019MOF50,acscombsci.5b00188_5036495_clean
CORE2019MOF51,acscombsci.5b00188_5040209_clean
CORE2019MOF52,acscombsci.5b00188_8372_clean
CORE2019MOF53,acs.inorgchem.5b02108_ic5b02108_si_002_clean
CORE2019MOF54,acs.inorgchem.5b02378_ic5b02378_si_002_clean
CORE2019MOF55,acs.inorgchem.5b02973_ic5b02973_si_002_clean
CORE2019MOF56,acs.inorgchem.6b00081_ic6b00081_si_001_clean
CORE2019MOF57,acs.inorgchem.6b00136_ic6b00136_si_002_clean
CORE2019MOF58,acs.inorgchem.6b00276_ic6b00276_si_006_clean
CORE2019MOF59,acs.inorgchem.6b00433_ic6b00433_si_002_clean
CORE2019MOF60,acs.inorgchem.6b00894_ic6b00894_si_002_clean
CORE2019MOF61,acs.inorgchem.6b00894_ic6b00894_si_003_clean
CORE2019MOF62,acs.inorgchem.6b01211_ic6b01211_si_002_clean
CORE2019MOF63,acs.inorgchem.6b01416_ic6b01416_si_004_clean
CORE2019MOF64,acs.inorgchem.6b01569_ic6b01569_si_002_clean
CORE2019MOF65,acs.inorgchem.6b01740_ic6b01740_si_002_clean
CORE2019MOF66,acs.inorgchem.6b01762_ic6b01762_si_002_clean
CORE2019MOF67,acs.inorgchem.6b02407_ic6b02407_si_002_clean
CORE2019MOF68,acs.inorgchem.6b02407_ic6b02407_si_003_clean
CORE2019MOF69,acs.inorgchem.6b02413_ic6b02413_si_002_clean
CORE2019MOF70,acs.inorgchem.6b02514_ic6b02514_si_002_clean
CORE2019MOF71,acs.inorgchem.6b02696_ic6b02696_si_002_clean
CORE2019MOF72,acs.jchemed.6b00258_ed6b00258_si_005_clean
CORE2019MOF73,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean
CORE2019MOF74,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean
CORE2019MOF75,ACUBAB_clean
CORE2019MOF76,ACUFEK_clean
CORE2019MOF77,ACUJOZ_manual
CORE2019MOF78,ACUTOI_clean
CORE2019MOF79,ADABIS_clean
CORE2019MOF80,ADABUE_clean
CORE2019MOF81,ADARAA_clean
CORE2019MOF82,ADASAB_charged
CORE2019MOF83,ADASEF_clean
CORE2019MOF84,ADASIJ_clean
CORE2019MOF85,ADASOP_clean
CORE2019MOF86,ADASUV_clean
CORE2019MOF87,ADATAC_clean
CORE2019MOF88,ADATEG_manual
CORE2019MOF89,ADATIK_clean
CORE2019MOF90,ADATOQ_clean
CORE2019MOF91,ADATUW_clean
CORE2019MOF92,ADAVAE_clean
CORE2019MOF93,ADAVEI_clean
CORE2019MOF94,ADAVIM_clean
CORE2019MOF95,ADAXEK_clean
CORE2019MOF96,ADAXIO_clean
CORE2019MOF97,ADEGIA01_clean
CORE2019MOF98,ADEGIA_clean
CORE2019MOF99,ADIQEL_clean
CORE2019MOF100,ADOBAX_charged
CORE2019MOF101,ADOBEB_charged
CORE2019MOF102,ADOBIF_clean
CORE2019MOF103,ADOBOL_charged
CORE2019MOF104,ADOBUR_charged
CORE2019MOF105,ADOCEC_clean
CORE2019MOF106,ADODAA_charged
CORE2019MOF107,ADODII_clean
CORE2019MOF108,ADODOO_clean
CORE2019MOF109,ADODUU_clean
CORE2019MOF110,ADOGEH_clean
CORE2019MOF111,ADUROI_clean
CORE2019MOF112,ADUWIH_clean
CORE2019MOF113,ADUWON_clean
CORE2019MOF114,AFEDIA_clean
CORE2019MOF115,AFEJOK_ion_b
CORE2019MOF116,AFENEE_clean
CORE2019MOF117,AFIPAH_clean
CORE2019MOF118,AFITEP_clean
CORE2019MOF119,AFITUF_clean
CORE2019MOF120,AFIXAO_clean
CORE2019MOF121,AFIXES_clean
CORE2019MOF122,AFOQUI_clean
CORE2019MOF123,AFOTOF_clean
CORE2019MOF124,AFOTUL_clean
CORE2019MOF125,AFOVAT_clean
CORE2019MOF126,AFOVEX_clean
CORE2019MOF127,AFOVIB_clean
CORE2019MOF128,AFOVOH_clean
CORE2019MOF129,AFOYAW_clean
CORE2019MOF130,AFOYEB_clean
CORE2019MOF131,AFOYIE_clean
CORE2019MOF132,AFOYOK_clean
CORE2019MOF133,AFUKET_clean
CORE2019MOF134,AFUKIX_clean
CORE2019MOF135,AFUPEX_clean
CORE2019MOF136,AGABIU_clean
CORE2019MOF137,AGARUW_clean
CORE2019MOF138,AGAYIQ_clean
CORE2019MOF139,AGAYOW_clean
CORE2019MOF140,AGESIP_clean
CORE2019MOF141,AGIMOU_clean
CORE2019MOF142,AGIREP_clean
CORE2019MOF143,AGOFEJ_clean
CORE2019MOF144,AGONAM_clean
CORE2019MOF145,AGONEQ_clean
CORE2019MOF146,AGOVOJ_clean
CORE2019MOF147,AGUBUA_clean
CORE2019MOF148,AGUTUS_clean
CORE2019MOF149,AGUVOO_charged
CORE2019MOF150,AGUWUV_clean
CORE2019MOF151,AHAMAY_clean
CORE2019MOF152,AHEBAS_clean
CORE2019MOF153,AHEQAH_clean
CORE2019MOF154,AHINIP_clean
CORE2019MOF155,AHIYOH_clean
CORE2019MOF156,AHIYUN_clean
CORE2019MOF157,AHOBEG_clean
CORE2019MOF158,AHOJUC_clean
CORE2019MOF159,AHOKAJ_clean
CORE2019MOF160,AHOKIR01_clean
CORE2019MOF161,AHOKIR_clean
CORE2019MOF162,AHOKOX_clean
CORE2019MOF163,AHOZAA_clean
CORE2019MOF164,AHUFIU_clean
CORE2019MOF165,AHUTIH01_clean
CORE2019MOF166,AHUTIH_clean
CORE2019MOF167,AJAKON_clean
CORE2019MOF168,AJAMEF_clean
CORE2019MOF169,AJAYIT_clean
CORE2019MOF170,AJIGIL_clean
CORE2019MOF171,AJINOY_clean
CORE2019MOF172,AJOTEY_clean
CORE2019MOF173,AJOVEB_clean
CORE2019MOF174,AJOXAA_clean
CORE2019MOF175,AJUNOK_clean
CORE2019MOF176,AKEDIF_clean
CORE2019MOF177,AKOBAF_clean
CORE2019MOF178,AKOHEO_clean
CORE2019MOF179,AKOXIJ_clean
CORE2019MOF180,AKUHOD01_clean
CORE2019MOF181,AKUHOD03_clean
CORE2019MOF182,AKUHOD_clean
CORE2019MOF183,AKUKUO_clean
CORE2019MOF184,ALAHUS_clean
CORE2019MOF185,ALALUU01_clean
CORE2019MOF186,ALALUU_clean
CORE2019MOF187,ALAMUW_clean
CORE2019MOF188,ALANAD_clean
CORE2019MOF189,ALATAK_clean
CORE2019MOF190,ALEJAE_clean
CORE2019MOF191,ALEJEI_clean
CORE2019MOF192,ALEJIM_clean
CORE2019MOF193,ALEQIT_clean
CORE2019MOF194,ALIBUT_clean
CORE2019MOF195,ALICAA_clean
CORE2019MOF196,ALIFUY_clean
CORE2019MOF197,ALIPEQ_clean
CORE2019MOF198,ALIXAU_clean_h
CORE2019MOF199,ALIXOJ_clean
CORE2019MOF200,ALIXUP_clean
CORE2019MOF201,ALOLES_ion_b
CORE2019MOF202,ALOLET_charged
CORE2019MOF203,ALOLIX_charged
CORE2019MOF204,ALOLIY_clean
CORE2019MOF205,ALOLOD_charged
CORE2019MOF206,ALONEV_clean
CORE2019MOF207,ALUJEX_clean
CORE2019MOF208,ALUJIB_clean
CORE2019MOF209,ALUJOH_clean
CORE2019MOF210,ALUJUN_clean
CORE2019MOF211,ALUKAU_clean
CORE2019MOF212,ALUKIC_clean
CORE2019MOF213,ALUKOI_clean
CORE2019MOF214,ALUKUO_clean
CORE2019MOF215,ALULAV_clean
CORE2019MOF216,ALULEZ_clean
CORE2019MOF217,ALULID_clean
CORE2019MOF218,ALURAB_clean
CORE2019MOF219,ALUREF_clean
CORE2019MOF220,ALURIJ_clean
CORE2019MOF221,am301365h_si_002_clean
CORE2019MOF222,AMAFOK_clean
CORE2019MOF223,AMAGAX_clean
CORE2019MOF224,AMALND_clean
CORE2019MOF225,AMEJOS_charged
CORE2019MOF226,AMIKOX_clean
CORE2019MOF227,AMILOY_clean
CORE2019MOF228,AMILUE_clean
CORE2019MOF229,AMIMAL_clean
CORE2019MOF230,AMIMEP_clean
CORE2019MOF231,AMIWID_clean
CORE2019MOF232,AMIWOJ_clean
CORE2019MOF233,AMIWUP_clean
CORE2019MOF234,AMIXAW_clean
CORE2019MOF235,AMIXEA_clean
CORE2019MOF236,AMIZIG_clean
CORE2019MOF237,AMODUC_clean
CORE2019MOF238,AMOFAK_clean
CORE2019MOF239,AMOYOR_clean
CORE2019MOF240,AMOZAE_clean
CORE2019MOF241,AMUFAR_clean
CORE2019MOF242,AMUFEV_clean
CORE2019MOF243,AMUFIZ_clean
CORE2019MOF244,AMUFOF_clean
CORE2019MOF245,AMUPOP_clean
CORE2019MOF246,AMUWIP_charged
CORE2019MOF247,AMUWUB_clean
CORE2019MOF248,AMUXAI_clean
CORE2019MOF249,ANAWIX_clean
CORE2019MOF250,ANAWOD_clean
CORE2019MOF251,ANEHEI_clean
CORE2019MOF252,ANENEN_clean
CORE2019MOF253,ANENIR_clean
CORE2019MOF254,ANEPIT_clean
CORE2019MOF255,ANIDIL_clean
CORE2019MOF256,ANOMOG_clean
CORE2019MOF257,ANOMUM_clean
CORE2019MOF258,ANONAT_manual
CORE2019MOF259,ANUGEW_clean
CORE2019MOF260,ANUGIA_clean
CORE2019MOF261,ANUGOG_clean
CORE2019MOF262,APACAX_clean
CORE2019MOF263,APARAM_clean
CORE2019MOF264,APAYIB_clean
CORE2019MOF265,APAYOH_clean
CORE2019MOF266,APAYUN_clean
CORE2019MOF267,APAZAU_clean
CORE2019MOF268,APAZEY_clean
CORE2019MOF269,APAZIC_clean
CORE2019MOF270,APAZOI_clean
CORE2019MOF271,APEBED_clean
CORE2019MOF272,APEBEE_clean
CORE2019MOF273,APEBII_clean
CORE2019MOF274,APEBUU_clean
CORE2019MOF275,APETAS_clean
CORE2019MOF276,APUPEH_clean
CORE2019MOF277,AQAJEI_clean
CORE2019MOF278,AQALIO_clean
CORE2019MOF279,AQALOU_clean
CORE2019MOF280,AQEFOS_clean
CORE2019MOF281,AQEFUY_clean
CORE2019MOF282,AQEGUY_clean
